,business_code,cust_number,name_customer,buisness_year,doc_id,posting_date,document_create_date,document_create_date.1,due_in_date,invoice_currency,document type,posting_id,area_business,total_open_amount,baseline_create_date,cust_payment_terms,invoice_id,isOpen,y_pred_days,predicted_clear_date,age_bin
0,CA02,0140105686,SYSC llc,2020.0,2960623488.0,2020-03-30,20200330,20200330,2020-04-10,CAD,RV,1.0,,3299.7,20200331.0,CA10,2960623488.0,1,6 days,2020-04-16,0-15 days
1,U001,0200744019,TARG us,2020.0,1930659387.0,2020-03-19,20200318,20200319,2020-04-03,USD,RV,1.0,,11173.02,20200319.0,NAA8,1930659387.0,1,2 days,2020-04-05,0-15 days
2,U001,0200418007,AM ,2020.0,1930610806.0,2020-03-11,20200306,20200311,2020-03-26,USD,RV,1.0,,3525.59,20200311.0,NAA8,1930610806.0,1,3 days,2020-03-29,0-15 days
3,U001,0200739534,OK systems,2020.0,1930788296.0,2020-04-15,20200415,20200415,2020-04-30,USD,RV,1.0,,121105.65,20200415.0,NAA8,1930788296.0,1,7 days,2020-05-07,0-15 days
4,U001,0200353024,DECA corporation,2020.0,1930817482.0,2020-04-23,20200423,20200423,2020-04-26,USD,RV,1.0,,3726.06,20200416.0,NAM2,1930817482.0,1,0 days,2020-04-26,0-15 days
5,U001,0200744019,TARG associates,2020.0,1930676042.0,2020-03-21,20200320,20200321,2020-04-05,USD,RV,1.0,,5893.01,20200321.0,NAA8,1930676042.0,1,3 days,2020-04-08,0-15 days
6,CA02,0140106408,WAL-M corp,2020.0,2960618790.0,2020-03-06,20200306,20200306,2020-03-16,CAD,RV,1.0,,92832.27,20200306.0,CA10,2960618790.0,1,14 days,2020-03-30,0-15 days
7,U001,0200337148,COAS llc,2020.0,1930592246.0,2020-03-02,20200302,20200302,2020-03-17,USD,RV,1.0,,11380.83,20200302.0,NAA8,1930592246.0,1,0 days,2020-03-17,0-15 days
8,U001,0200794332,COST associates,2020.0,1930731070.0,2020-04-07,20200401,20200407,2020-04-22,USD,RV,1.0,,3863.93,20200407.0,NAAX,1930731070.0,1,1 days,2020-04-23,0-15 days
9,U001,0200794332,COST llc,2020.0,1930803605.0,2020-04-23,20200420,20200423,2020-05-08,USD,RV,1.0,,74453.01,20200423.0,NAAX,1930803605.0,1,1 days,2020-05-09,0-15 days
